Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2020,24.2,31.4,27,88,9.6,3.6,6,280,4,W
02-01-2020,24,31,27.4,87,16.7,3.4,6,280,3,W
03-01-2020,24.8,32.2,28.4,84,2,2.5,7,270,3,W
04-01-2020,22,31.4,27.1,90,36.6,4.6,8,270,2,C
05-01-2020,25.4,30.4,26.8,92,3.7,0.8,6,270,2,C
06-01-2020,24.6,29.6,26.3,92,20.3,0.2,4,360,2,C
07-01-2020,23.6,30.4,26.7,94,28.8,3.2,5,280,2,C
08-01-2020,24.6,30.2,26.9,93,28,3.1,5,360,2,C
09-01-2020,24.2,30.2,26.4,90,13.5,2.1,4,260,2,C
10-01-2020,25.2,29.8,26.9,93,2.5,2.9,6,290,2,W
11-01-2020,24.6,29.4,27.1,89,6.4,0.4,3,330,1,C
12-01-2020,24.2,31.6,27.7,86,8.6,0.4,4,320,2,W
14-01-2020,24.8,30.6,27.8,87,11,7.8,6,300,2,W
16-01-2020,26,31,27.6,91,0,8.4,4,340,1,C
17-01-2020,24.8,31.8,27.8,88,0,4.6,6,300,2,C
18-01-2020,24.6,31.8,28.6,82,0,8.5,4,350,2,C
19-01-2020,26,32.2,29.3,82,0,10.3,4,360,2,N
20-01-2020,25.4,32.2,29.3,85,0,10.3,5,250,2,C
22-01-2020,25.4,32.4,29,83,0,4.7,4,350,2,C
23-01-2020,25.4,33,29.4,80,0,9.4,4,330,2,C
25-01-2020,26.2,31.4,27.2,92,0,4.9,6,280,2,C
26-01-2020,24.6,31,27.8,86,113.6,4.7,4,350,2,C
27-01-2020,26,31.4,28.9,84,0,8.6,5,350,2,N
28-01-2020,26,32.2,29,84,0,8.8,6,330,2,C
29-01-2020,26.4,31.8,29.1,85,0,8.1,6,300,2,C
30-01-2020,26.2,31.4,28.7,84,0,6.5,5,270,1,C
31-01-2020,26,32.2,28.5,85,0,1.7,5,300,2,W
01-02-2020,25,31.8,27.7,88,1,4.2,5,310,2,C
02-02-2020,25.8,30.6,27,90,1,6.3,5,270,2,W
03-02-2020,25,31.6,27.2,90,2.7,2.6,5,330,2,C
04-02-2020,22.2,31,28.2,85,60.5,5.3,4,200,2,C
05-02-2020,25,31.4,27.6,86,54.2,6.1,4,290,1,C
06-02-2020,25.2,31,27.8,87,13.4,5,6,340,3,NW
07-02-2020,25,31.2,26.8,89,8.2,7.1,6,300,2,C
08-02-2020,22.6,31.6,27.7,85,29.5,3.6,8,260,3,W
10-02-2020,25.4,30.8,27.5,88,0.5,1.6,5,330,2,N
11-02-2020,24.8,30.6,27.6,87,0,6.2,4,350,1,C
14-02-2020,22.4,31.6,28.7,80,0,3.4,5,310,2,N
15-02-2020,26.6,31.6,28,90,0,8.8,4,280,1,C
16-02-2020,25.4,31.6,27.8,87,0.3,3.5,5,350,2,C
17-02-2020,25.8,31,27.6,88,0.4,3.1,4,260,1,C
18-02-2020,25.6,30.8,27.6,90,21.3,1.6,7,270,2,W
19-02-2020,25,30.4,27,90,4.5,3.7,9,310,3,W
20-02-2020,24,27.4,25.7,93,114,3.8,3,280,2,W
21-02-2020,23.8,30.4,27.5,85,12.2,0.8,7,270,3,W
22-02-2020,23.2,31,27.7,87,0,7.3,6,290,2,C
23-02-2020,23,31.2,27.7,90,31,8,5,290,3,NW
24-02-2020,22,28.4,26.5,93,5.1,6.3,6,290,3,W
25-02-2020,25,31,27.4,88,6.5,0.5,9,300,4,W
26-02-2020,26,30.6,28,87,0,7.5,5,330,2,C
27-02-2020,24.8,31.6,27.6,90,4.5,2.8,8,280,3,C
28-02-2020,25.2,31,27.3,90,14.2,7.9,5,280,2,C
29-02-2020,25.2,30.8,27.1,90,8.2,15.5,6,290,3,C
01-03-2020,24.8,29.8,26.4,94,48.4,6.4,6,310,2,C
02-03-2020,25,30.6,27.5,90,40.1,0.7,5,290,2,W
03-03-2020,26,31,28.2,89,0,6,5,310,2,C
04-03-2020,25,31,27.1,88,21.5,7.3,4,270,1,C
05-03-2020,24.6,31.2,27.2,90,27.4,4.5,4,350,2,C
06-03-2020,24.8,31,27.5,88,0,2.1,5,320,2,W
07-03-2020,25.2,31.2,27.6,89,3.7,4.8,10,290,2,C
08-03-2020,25.4,31.4,27,91,3,6.3,5,340,2,C
09-03-2020,25.4,30.6,27.4,90,4.3,5.6,4,360,1,C
10-03-2020,25.2,30.6,27.9,87,0,2.8,4,350,1,C
11-03-2020,25.4,31.8,28.8,87,0,3.1,4,360,2,W
12-03-2020,26.6,31.8,28.9,85,0,9.2,5,320,2,C
13-03-2020,25.6,31.8,28.6,83,0,5.8,6,320,1,C
14-03-2020,27.2,33,29.3,84,0,8.5,7,360,2,C
15-03-2020,25.8,32.2,28.8,85,3.3,5.4,10,360,2,C
16-03-2020,24,32.8,28.4,86,10,4.8,5,290,2,C
17-03-2020,25.6,32.2,28.5,88,13.6,6,7,340,2,N
18-03-2020,25,33.4,28.9,81,16.7,6.2,4,40,2,C
19-03-2020,24.4,31.8,26.9,91,0.2,6.4,5,350,2,C
20-03-2020,24.6,31.6,27.8,88,6.2,3.7,5,330,2,C
21-03-2020,25.2,31.6,28.2,84,0,6.6,6,360,2,C
22-03-2020,26.2,32,29.1,80,0,7,3,360,2,C
23-03-2020,26.2,32.2,28.8,85,0.2,10.3,4,310,2,E
24-03-2020,24.6,31.4,28,84,0,5.2,5,320,2,C
25-03-2020,25.4,31.8,28.7,85,1.9,4.3,7,350,2,C
26-03-2020,26.2,32.8,28.9,84,5.6,7.9,6,360,2,C
27-03-2020,25.2,32.6,28.9,84,2,9,4,360,1,C
28-03-2020,26.4,32,28.9,84,0,7.7,5,290,2,C
29-03-2020,25.8,32.2,28.2,86,0,6.3,4,360,1,C
30-03-2020,26.6,32,27.7,88,0,5.7,4,290,2,C
31-03-2020,25.2,31.2,26.8,94,23.7,4.6,3,340,1,C
01-04-2020,24.6,31.6,28.3,86,14.4,5.2,3,350,2,C
02-04-2020,24.6,32.2,27.8,88,91.6,7.5,4,350,1,C
03-04-2020,24.8,32.2,29.1,84,0.5,7.3,5,340,2,C
06-04-2020,25.2,31.4,27.3,90,8.4,2.7,3,300,1,C
07-04-2020,24.8,30.6,26.9,90,32.5,3,4,350,1,C
08-04-2020,24.8,30.8,27.2,88,3,6,4,350,1,C
09-04-2020,25.2,34.2,28.2,84,0,1.5,6,140,2,C
10-04-2020,25.6,34.4,29,82,0,6.5,4,80,2,C
11-04-2020,25.2,32,27.1,91,1.2,7.5,4,360,1,C
12-04-2020,25,32.6,27.3,89,4.7,6.1,8,210,2,C
13-04-2020,23.6,31.6,27.9,87,43.5,5.7,4,350,1,C
14-04-2020,22.4,31.6,28.4,84,0,9.6,5,340,2,C
15-04-2020,25.8,33,29.4,82,0,9.3,6,340,2,C
19-04-2020,25.6,31.8,28.4,89,0,7,3,300,1,C
20-04-2020,26.4,33.2,29.6,84,2,6.4,6,330,1,C
21-04-2020,24.6,32.4,28.1,88,56.5,10.4,4,60,2,C
22-04-2020,25.4,34.6,29.2,83,15,5.7,7,120,2,C
23-04-2020,27.6,34.2,30.8,76,0,10,6,100,2,E
24-04-2020,27.4,33.8,29.5,78,0,8.4,5,160,2,C
25-04-2020,26,33.4,29.1,82,4.6,7.8,4,110,2,C
26-04-2020,26.2,32,27.8,88,0,2.4,4,340,1,C
27-04-2020,25.2,34.2,29.6,79,7.7,1.3,6,130,2,C
29-04-2020,24.8,33.4,29.9,76,6,0.4,7,80,3,E
02-05-2020,24.4,30.4,27.3,92,48.5,9.2,4,280,2,C
03-05-2020,25.2,32.2,28.8,82,0,0.2,4,160,1,C
04-05-2020,26.2,33.2,29.8,77,0,6.9,6,120,2,C
05-05-2020,27,33.6,29.9,80,0,7.9,6,350,2,C
06-05-2020,27.2,33.8,30.3,77,0,7.4,5,120,3,E
07-05-2020,25.4,34.2,30.3,76,5.6,7.7,5,110,2,E
09-05-2020,27.8,33.8,29.5,81,0,4.8,5,180,2,C
10-05-2020,24.6,33.6,28.8,81,43.5,5.9,3,45,1,C
11-05-2020,27.2,33.2,29.1,81,1,8.9,6,45,3,NE
12-05-2020,25.6,33.4,29.2,82,0,4.5,6,90,2,E
13-05-2020,28,33.8,30.5,76,0,9.1,4,150,2,C
14-05-2020,27,33.2,29.8,76,0,7.1,6,130,2,C
15-05-2020,25.8,33.2,28.7,81,0,8.8,7,120,2,C
16-05-2020,25.6,35,30.1,76,0,4.6,5,100,2,C
17-05-2020,26.6,35.4,28.9,84,0,9.4,5,110,2,C
18-05-2020,25.2,32.4,28.5,88,21.8,8.5,5,340,2,C
19-05-2020,25.2,33.6,28.2,86,21,2.1,9,120,3,SE
20-05-2020,25.6,33.4,29,87,8.1,4.7,6,350,2,C
21-05-2020,24,31.8,28,86,83,9.7,4,340,1,C
24-05-2020,25.8,33,29.2,85,0.4,9.1,5,340,2,C
25-05-2020,24.8,32.2,29.2,83,0,9.6,5,10,2,C
26-05-2020,26.4,32,28.7,85,6.3,8.3,3,40,2,C
27-05-2020,24.6,32.2,28.7,84,0,6,5,10,1,C
28-05-2020,26,30.8,27.7,89,0,7.7,4,360,2,E
29-05-2020,24.8,32,28,88,0,0.7,4,330,1,C
30-05-2020,26.4,33.6,29.6,77,0,9.4,4,140,2,C
31-05-2020,25,33.4,28.8,82,28.2,8.8,6,350,3,E
03-06-2020,25.8,32.2,29,80,0,1.8,6,110,3,SE
04-06-2020,26.2,33.4,29,81,0,4.2,5,100,2,E
05-06-2020,25.4,33.4,28.5,83,0,10.2,5,100,2,C
06-06-2020,25.2,31.6,27.9,86,0,10.3,5,330,1,C
07-06-2020,25.6,32.2,28.4,82,0,7.9,5,120,1,C
08-06-2020,25.8,32.4,28.7,83,0,7.8,5,80,2,C
09-06-2020,26,32.8,29.1,82,0,8.6,5,20,2,C
10-06-2020,25.6,32.4,29,80,2.6,9.4,5,120,2,C
11-06-2020,26,32.2,29,83,0,8.2,6,120,2,C
12-06-2020,24.4,32.6,28.3,82,19,8.8,7,100,2,E
15-06-2020,26,33.8,30.2,80,0,6.7,6,110,2,C
16-06-2020,26.6,33.2,28.7,84,0.5,9.4,6,120,2,C
17-06-2020,24.2,34,28.6,78,0,7.6,6,100,3,E
18-06-2020,25.4,33.6,28.8,84,0,10.5,4,80,2,C
19-06-2020,26.4,33.2,29.4,82,0,9.2,5,90,2,E
21-06-2020,24.2,33.4,28.9,77,0,7.2,5,120,2,C
22-06-2020,25.8,33.2,29.6,78,0,6.4,7,100,4,E
23-06-2020,25,33,28.7,78,0,7,5,100,2,C
27-06-2020,24.2,33,27.8,80,0,8.7,5,100,2,C
28-06-2020,24.2,33.6,28,82,0,9.9,6,50,1,C
29-06-2020,24.8,34.2,28.7,76,0,9.9,5,120,2,C
30-06-2020,24.6,34,28.6,80,0,9.8,6,140,2,C
02-07-2020,25,33.2,27.3,84,0,8.6,8,240,4,SE
03-07-2020,24,33.2,28.7,82,31.2,7.6,5,230,2,C
04-07-2020,24.2,32.2,28.4,79,0,7.2,4,120,2,C
05-07-2020,25.8,32,28.8,76,0,9.8,7,100,3,E
07-07-2020,24.2,32.4,27.7,82,20.2,2.4,3,100,1,C
09-07-2020,24.2,32.6,28,82,0,9.7,4,140,2,C
10-07-2020,25.2,32.6,28.4,85,0,8,3,300,1,C
11-07-2020,24.6,33.4,28,84,8.5,7,4,90,1,C
13-07-2020,26,33.4,29.1,80,0,7.1,4,100,2,C
14-07-2020,26.2,34.2,29.2,83,0,8.3,5,110,2,E
15-07-2020,26.6,31.8,27.9,80,0,7.9,5,120,2,C
16-07-2020,25.6,33.2,28.8,82,1.4,3.4,6,340,3,SE
17-07-2020,26.2,33.4,29.4,76,0,7.3,6,120,2,C
18-07-2020,25.2,33.4,28.8,82,0,10.2,3,110,1,C
19-07-2020,24.4,33.6,29.1,77,0,8.9,4,30,2,C
20-07-2020,23.8,33.4,29,82,0,9,4,120,2,C
21-07-2020,26.6,34,28.5,84,0.5,9.5,5,100,2,E
22-07-2020,24.8,33.4,28.4,82,10,8.7,6,90,2,C
23-07-2020,25,33.8,28.4,80,0,10.3,4,110,2,C
24-07-2020,24.2,33.4,28.2,80,0,9,8,80,2,C
25-07-2020,23.8,33.4,27.8,74,0,9.9,5,150,2,C
26-07-2020,22,32.6,26.8,75,0,9.8,5,120,2,C
27-07-2020,23,33.8,28.4,70,0,9.6,5,120,3,C
28-07-2020,23,33.6,28.2,72,0,10.4,7,130,3,SE
29-07-2020,23.8,33.2,28.5,72,0,10.2,6,140,2,C
30-07-2020,22.4,31.8,29.3,76,0,9.7,8,310,2,C
31-07-2020,21.4,31.6,26.8,80,0,10.5,3,300,1,C
02-08-2020,23.8,33.6,27.7,82,0,9.6,6,45,2,C
03-08-2020,24.2,33,27.9,80,0,8.6,6,90,2,C
04-08-2020,25.2,32.8,28.9,80,0,9.2,4,100,1,C
05-08-2020,25,32.8,28.1,82,0,1.4,5,360,1,C
06-08-2020,25,34.8,28.3,79,0,9.1,8,90,3,C
07-08-2020,26.6,32.6,28.7,82,0,9.3,4,300,2,C
11-08-2020,23.2,34.2,29.4,74,0,9.2,9,340,3,E
12-08-2020,25,33.8,28.9,80,2.2,7.5,6,120,2,C
13-08-2020,25.8,34.2,28.4,82,0,6.4,6,90,3,E
14-08-2020,25.2,33.6,28.5,86,19,9.8,5,130,2,C
15-08-2020,25.6,32.6,29,78,0,9.2,7,45,3,W
16-08-2020,24.8,33,28.2,87,35,10.1,6,100,3,E
17-08-2020,25.8,34.2,29.6,75,0,8.6,7,80,4,E
18-08-2020,25.4,32.2,27.9,85,0,8.3,5,330,2,C
19-08-2020,25.4,34.6,28.9,81,0,9.6,6,120,2,C
20-08-2020,24.8,33.8,29.3,75,0,9.5,6,100,3,E
21-08-2020,26,33.8,29.6,72,0,10.2,8,130,3,E
22-08-2020,26,34,29.9,71,0,10.5,7,130,3,C
26-08-2020,23,35,28.1,78,0,10.2,6,90,2,E
27-08-2020,21.8,34.2,27.3,80,0,10.1,6,100,2,E
28-08-2020,24.2,34.2,28.9,76,0,10.4,7,100,3,E
29-08-2020,25.4,34.2,29.1,78,0,8.9,5,340,2,N
30-08-2020,24.6,34.8,28.8,80,0.2,9.7,5,110,2,E
31-08-2020,24.2,34.6,28.3,74,0,9.5,6,20,3,E
01-09-2020,23.8,35.4,29.5,72,0,9.4,7,100,3,E
02-09-2020,24,34,28.8,77,0,9.5,5,330,2,C
03-09-2020,24.8,34.2,27.9,84,6.4,6.6,5,100,2,C
04-09-2020,24,34.2,29.5,79,35,8,6,360,2,C
05-09-2020,25.8,34.2,29.3,79,9.5,9.9,6,40,3,NE
06-09-2020,24.2,34.8,28.8,76,1,9,7,110,2,C
07-09-2020,25.4,34.8,28.6,82,0,9.8,5,360,1,C
08-09-2020,25,34.4,29.1,72,0,9.8,5,45,3,E
09-09-2020,25.4,34.6,29.1,76,0,9.9,6,80,2,E
10-09-2020,25.2,33.6,29,78,0,9.6,5,60,2,C
11-09-2020,26,34.4,29.4,73,0,10,4,360,2,C
12-09-2020,24.4,34.2,28.4,80,0,8.6,6,330,2,C
13-09-2020,26,33.6,29.7,74,0,9.9,5,60,2,NW
14-09-2020,24.8,33.8,28.8,73,0,7.4,7,320,2,C
15-09-2020,25.4,34.2,29.4,74,0,9.4,5,100,2,C
19-09-2020,26.2,35.8,30.8,66,0,9.9,8,100,4,E
20-09-2020,27.8,34.4,30.6,70,0,10,6,90,2,C
21-09-2020,26.6,34.4,29.8,77,0,8.2,6,150,2,C
22-09-2020,24.8,31.6,27,86,9,7.2,6,250,2,C
23-09-2020,23.6,35,28.7,83,5.6,7.3,4,280,2,C
24-09-2020,26.4,35.8,29.8,80,0,9.3,5,350,2,C
25-09-2020,25.2,35.4,29.4,83,0,9.3,6,70,2,C
26-09-2020,25,35.4,29.7,74,0,5.8,8,340,3,C
27-09-2020,25.2,32.8,29,80,8.3,9,5,360,2,C
28-09-2020,24.6,33.8,29.2,78,16,8.6,6,150,2,E
01-10-2020,25.6,35.2,30.2,75,0,8.5,6,360,2,C
02-10-2020,25.2,35,29.4,80,4,10.5,8,350,2,C
03-10-2020,24.8,35.4,29.1,80,22,10.9,6,130,2,C
04-10-2020,24.8,34,29.3,72,0,10.2,6,160,3,SE
05-10-2020,25.4,33.6,29.1,77,0,8.5,4,120,2,C
06-10-2020,25,33.2,28.5,78,0,8,4,140,2,C
07-10-2020,25.4,33.2,28.6,78,0,6.6,6,340,2,C
08-10-2020,26,34.2,29.8,72,0,8.1,5,110,3,E
09-10-2020,25.6,33.2,29.1,80,0,6.6,4,80,2,C
10-10-2020,26.4,33,28.2,81,0,4.6,8,70,2,C
13-10-2020,24.4,34.8,29.9,77,41.5,6.3,6,120,2,C
14-10-2020,26,36,29.4,77,0,9.3,4,350,2,N
15-10-2020,24.4,32.8,28.2,83,17,8.5,5,150,2,C
16-10-2020,23.6,32,28.1,85,35,7.4,4,300,1,C
17-10-2020,25.6,33,29,81,0,4.8,4,330,1,C
18-10-2020,25.4,33,28.6,80,0,4.1,5,100,2,C
19-10-2020,26.6,31.6,28.9,78,0,5.3,4,120,2,E
20-10-2020,26,33.2,29.6,74,0,4.1,5,30,2,C
21-10-2020,26.2,33,27.6,87,0.7,8.1,6,80,2,C
22-10-2020,25.2,30.6,28.3,86,10.5,0.4,3,250,1,C
23-10-2020,25.4,31.4,28.3,84,0.9,6.3,6,350,2,C
24-10-2020,25.2,33.4,29.7,80,0.5,7.9,4,80,2,C
27-10-2020,25.4,31.2,27.1,88,4,3.1,6,210,1,C
28-10-2020,24.4,33.6,28.5,81,12.1,2.8,6,110,2,E
29-10-2020,25,33.8,30,79,7.4,10,5,110,2,C
30-10-2020,27.8,31.6,29.5,77,1.2,7.6,4,110,2,C
31-10-2020,25.6,30.6,27.3,88,4,6,5,340,1,C
01-11-2020,24.4,30.2,27.3,88,6.6,2.1,5,340,2,C
02-11-2020,25.2,30,27.5,87,25.2,6.2,5,320,1,C
03-11-2020,25,31.4,27.9,86,0,0,3,80,1,C
04-11-2020,24,33.6,28.9,79,4.5,6.3,6,150,2,C
06-11-2020,24.8,33.2,28.7,81,9,4.3,5,45,2,C
07-11-2020,25.6,33.6,29.8,80,0,8,6,340,2,N
08-11-2020,24.4,34.2,29.5,80,15.5,10.5,4,360,2,C
09-11-2020,24.2,33.6,29,83,34,8.7,8,90,3,W
10-11-2020,25,32.8,29.2,81,11,9.3,5,280,2,C
11-11-2020,24.6,33,28.8,82,4.1,10.5,5,340,3,N
12-11-2020,27,33.8,30.7,74,0,9,6,110,3,SE
13-11-2020,27.2,35,31.1,72,0,8.7,8,120,3,C
14-11-2020,26.6,33.2,30.1,79,0,7.5,5,340,2,C
15-11-2020,26.2,34.4,29.5,80,0.6,8.7,3,70,1,C
17-11-2020,25,33.8,29.8,81,16.4,8.9,6,130,3,SE
18-11-2020,25.2,34.8,27.8,86,8.5,8.1,8,90,2,C
19-11-2020,23,35.2,29.4,80,15,10.5,7,360,4,N
20-11-2020,25.2,32.2,28.7,84,1.2,7,4,360,2,C
21-11-2020,24.4,31.8,28.9,87,19.6,6.1,3,330,1,C
22-11-2020,25.4,32.2,28.3,84,0,5.3,4,350,2,C
23-11-2020,24.8,30.8,28,86,0,3.8,4,320,2,NW
25-11-2020,23.6,31.2,27.6,86,13.4,5,5,150,1,C
26-11-2020,24.4,31.4,27.7,84,1.5,2.7,4,340,1,C
28-11-2020,25.2,30.4,28,86,0.3,0,3,340,1,C
29-11-2020,25,29.6,26,94,0.5,4.5,2,360,0,C
30-11-2020,23,30.6,27.1,85,52,2.2,3,330,1,C
01-12-2020,26,31.8,28.4,83,0,4.5,4,350,1,C
02-12-2020,25.4,31.4,27.9,85,1,6.3,5,360,2,C
03-12-2020,23.4,31.6,27.7,88,87.5,4.3,5,330,1,C
04-12-2020,26,31.2,28.2,85,0,4.3,3,310,2,NW
05-12-2020,25.2,31.8,28,84,5,2.3,8,260,4,NW
06-12-2020,24.8,31.6,25.9,90,7.8,6.4,5,260,2,C
07-12-2020,24,27,25.2,95,23.1,0.5,5,260,2,C
08-12-2020,24.4,31.6,28.4,80,18,0.5,13,270,6,W
09-12-2020,25,30.2,27.9,82,20.7,4.6,12,280,4,C
10-12-2020,25.4,30.4,27.4,89,14.1,1.5,8,290,4,W
11-12-2020,24.8,30.4,27.6,88,27.9,1.6,5,270,2,W
12-12-2020,25.2,31,27.7,88,15,2.3,6,270,2,W
13-12-2020,24.2,29.6,27,92,14.5,5.1,5,270,2,W
14-12-2020,25.2,30.2,26.8,90,0,1,4,330,1,C
15-12-2020,25,30,27.1,89,1.8,1.2,5,340,2,C
16-12-2020,24.6,30.8,26.8,90,1.8,0,4,340,1,C
17-12-2020,25.2,29.6,26.9,90,11.5,4.6,6,280,2,C
18-12-2020,24.2,30.4,26.4,90,11.8,0.9,6,340,1,C
19-12-2020,23.8,30.2,26.9,86,61.6,3.9,7,340,2,C
20-12-2020,24.2,30.4,27.6,84,9.2,7.7,4,10,2,C
22-12-2020,23,30.4,28.2,86,0,3.7,3,360,1,C
24-12-2020,25.4,31.6,28.4,83,7.3,5,4,350,1,C
25-12-2020,25.2,32.6,28.6,81,10,7.9,3,360,1,C
26-12-2020,25.4,31.4,28.3,85,2,9.3,4,320,2,C
27-12-2020,26,31.6,28,85,1,8.1,5,360,2,C
28-12-2020,25.4,31.4,28.1,86,2.4,6.6,5,320,2,C
29-12-2020,26,31,27.7,90,13,5.8,4,360,2,C
30-12-2020,25,29.8,27,88,3.4,4.4,4,190,2,C
31-12-2020,24.8,30.2,27.3,87,8.7,3.7,5,320,2,C
01-01-2021,25.6,30,27.6,85,1.6,2.7,4,340,1,C
02-01-2021,25,30.4,27.8,84,3.5,2.1,3,360,1,C
04-01-2021,24.4,31,27.6,84,2.3,5.7,4,340,1,C
05-01-2021,25.4,30.2,27.1,88,8,6.4,4,350,2,C
06-01-2021,25.8,31.4,28,86,,2.7,7,340,3,C
07-01-2021,26,29.8,27,88,0,5.3,8,270,3,N
08-01-2021,26,30.6,27.4,87,1,1.8,4,350,1,C
09-01-2021,25,30.6,26.8,89,43.5,1,5,350,1,C
10-01-2021,25,30.2,27.6,86,7.7,4.3,5,340,2,C
11-01-2021,25.2,30,28,88,3.3,3.1,3,270,1,C
12-01-2021,25,30.4,27.9,85,0.3,1.3,6,290,2,C
13-01-2021,24.6,31.2,27.4,88,6.5,4.2,8,290,2,C
14-01-2021,25.2,30,26.8,88,8.8,5.5,6,80,2,C
15-01-2021,25,30.4,27.4,87,0.5,1.4,4,300,2,C
16-01-2021,25.2,30.8,27.1,88,,0.6,5,330,1,C
17-01-2021,24.6,31.2,26.6,90,2,0.9,8,300,2,C
18-01-2021,24.8,28.4,25.8,94,19.2,7.4,6,280,2,W
19-01-2021,23.4,26.8,24.5,96,57.8,0.9,5,280,2,W
20-01-2021,22.4,29.8,27.9,86,7.8,0.2,6,280,3,W
21-01-2021,25.6,30.2,27.1,88,0,3.2,7,290,2,C
22-01-2021,25.4,29.8,26.8,89,10.4,5.1,4,320,1,C
25-01-2021,24,30.4,27.2,86,5.2,2.5,4,310,2,C
